Gene	Probe_ID	MCF7__biological_rep1	MCF7__biological_rep2	MCF7__biological_rep3	MCF7_silenced_Estrogen_receptor__biological_rep1	MCF7_silenced_Estrogen_receptor__biological_rep2	MCF7_silenced_Estrogen_receptor__biological_rep3
OPRD1	207792_at	5.21879	5.07463	5.02941	5.02224	5.10202	5.19134
OPRK1	207553_at,229944_at	4.562955	4.529495	4.618295	4.269585	4.40892	4.445475
OPRL1	206563_s_at,206564_at	5.41165	5.36977	5.46129	5.26096	5.34945	5.427005
OPRM1	207989_at,207994_s_at,211359_s_at	4.41403666666667	4.18435666666667	4.31529333333333	4.19742	4.19129666666667	4.25594666666667
OPRPN	208004_at	4.93213	5.17194	4.90692	4.56506	4.95675	5.05521
OPTC	223884_at	5.59921	5.96264	5.92162	5.40723	5.67996	5.68292
OPTN	202073_at,202074_s_at	6.871225	6.902735	6.858355	9.91662	9.832205	9.871645
OR10A3	1567250_at,1567251_at	4.56212	4.508	4.495355	4.382535	4.554755	4.535705
OR10A4	1555655_at	4.92944	4.93681	4.8894	4.85672	4.71368	4.94414
OR10A5	1555651_at	5.05847	4.84116	4.96511	4.39922	4.88717	4.81074
OR10C1	221339_at	4.72341	4.72646	4.80274	4.63284	4.87462	4.70144
OR10D1P	1567254_at,1567255_at	4.86985	4.825855	4.93739	4.95042	4.85735	4.9059
OR10D3	1567252_at,1567253_at	5.064325	4.89971	4.992405	4.801815	4.763715	4.81808
OR10H1	208558_at	4.96999	5.05357	5.1909	5.02436	5.3839	5.10373
OR10H2	208543_at	4.50506	4.44964	4.62467	4.39974	4.60756	4.52789
OR10H3	208520_at	5.33335	4.96928	5.35934	4.90869	5.09881	5.08821
OR10J1	221346_at	6.08891	5.91614	6.02454	5.79769	5.97893	5.78156
OR11A1	221343_at	4.74663	4.60378	4.53501	4.59641	4.66084	4.59118
OR12D2	221344_at	5.72685	5.67274	5.54024	5.83256	5.73148	5.81255
OR12D3	221431_s_at	4.94519	4.62444	4.94209	4.59789	4.78934	4.78115
OR12D3///OR5V1	208098_at	4.49867	4.49892	4.42625	4.23118	4.4249	4.49932
OR13C4	1567297_at,1567298_at	5.600465	5.70856	5.650955	5.66816	5.618385	5.867665
OR14J1	234545_at	4.77613	4.79785	5.03913	4.70578	4.79393	4.78533
OR1A1	221388_at	5.54862	5.4177	5.43943	5.17769	5.6046	5.57532
OR1A2	221445_at	4.66861	4.61889	4.62306	4.52947	4.78664	4.68978
OR1C1	1567054_at,1567055_at	4.270675	4.558295	4.38645	4.246225	4.531605	4.524495
OR1D2	221464_at	5.33887	5.61643	5.3404	5.42127	5.44264	5.47562
OR1D5	221341_s_at	4.57628	4.50194	4.35478	4.59541	4.54324	4.5362
OR1E1	214515_at	5.03055	5.07947	4.95632	4.96482	5.02107	4.7591
OR1E2///OR1E1	208587_s_at	5.58429	4.9415	5.20439	5.14318	5.12134	4.99904
OR1F1	221402_at	5.86115	5.78056	6.12677	5.85121	5.77565	5.76783
OR1F2P	217308_at	4.77323	4.76371	4.62155	4.84327	4.60114	4.68757
OR1G1	221375_at	5.40729	5.14743	5.18543	5.09566	5.14289	5.16732
OR1I1	234403_at	6.37507	6.49939	6.60749	5.98733	6.33412	6.14596
OR1J2	1567256_at,1567257_at	5.32819	5.472425	5.360485	5.15078	5.3556	5.273185
OR1J4	1567282_at,1567284_at	4.660085	4.700765	4.71279	4.529105	4.58908	4.69078
OR1Q1	1567064_at,1567065_at	4.538865	4.266525	4.549215	4.290635	4.437515	4.414935
OR2A4	233493_at	4.68981	4.57484	4.54151	4.45335	4.60851	4.40757
OR2A9P///OR2A20P	222290_at,223971_at	5.547305	5.302465	5.53439	5.197385	5.491985	5.3043
OR2B2	216408_at	4.22145	4.17964	4.05644	3.882	4.07343	3.93964
OR2B3	234903_at	5.14574	4.89356	5.19489	4.87743	4.75076	4.85747
OR2B6	216522_at	5.83363	5.65829	5.75878	5.24759	5.51619	5.34168
OR2C1	221460_at	4.96928	4.81145	5.22905	5.12265	5.0117	5.16293
